Acronym,SAT ID,Launch,(expected) EOL,"Satellite Programme",Orbit,Altitude,Longitude,Inclination,Ect,Sat Status,"Payload",Last update,Date
GOES-3,139,28657,34151,"Geostationary Operational Environmental Satellite - 1st generation",GEO,35786 km,135 ° W, ,,Inactive,"DCIS, SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, VISSR",2015-07-28 11:04:18,2015-07-28
GOES-4,140,29473,32469,"Geostationary Operational Environmental Satellite - 1st generation",GEO,35786 km,135 ° W, ,,Inactive,"DCIS, SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, VAS",2015-07-28 11:05:09,2015-07-28
GOES-5,141,29728,33072,"Geostationary Operational Environmental Satellite - 1st generation",GEO,35786 km,75 ° W, ,,Inactive,"DCIS, SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, VAS",2015-07-28 11:06:09,2015-07-28
GOES-6,142,30434,32690,"Geostationary Operational Environmental Satellite - 1st generation",GEO,35786 km,135 ° W, ,,Inactive,"DCIS, SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, VAS",2015-07-28 11:07:18,2015-07-28
GOES-7,143,31834,35075,"Geostationary Operational Environmental Satellite - 1st generation",GEO,35786 km,75 ° W, ,,Inactive,"DCIS, SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, VAS",2015-07-28 11:08:36,2015-07-28
GOES-8,144,34437,38112,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,75 ° W, ,,Inactive,"DCIS, GEOS&R , IMAGER (GOES 8-11), SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, SOUNDER",2021-03-20 22:07:16,2021-03-20
GOES-9,145,34842,37763,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,135 ° W, ,,Inactive,"DCIS, GEOS&R , IMAGER (GOES 8-11), SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, SOUNDER",2021-03-20 22:08:24,2021-03-20
GOES-10,146,35545,39052,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,135 ° W, ,,Inactive,"DCIS, GEOS&R , IMAGER (GOES 8-11), SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, SOUNDER",2021-03-20 22:10:37,2021-03-20
GOES-11,147,36649,40882,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,135 ° W, ,,Inactive,"DCIS, GEOS&R , IMAGER (GOES 8-11), SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, SOUNDER",2021-03-20 22:12:28,2021-03-20
GOES-12,148,37095,40308,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,75 ° W, ,,Inactive,"DCIS, GEOS&R , IMAGER (GOES 12-15), SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, SOUNDER, SXI",2021-03-20 22:13:24,2021-03-20
GOES-13,149,38861,43738,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,61.5 ° E, ,,Inactive,"DCIS, GEOS&R , IMAGER (GOES 12-15), SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, SOUNDER, SXI",2023-09-25 6:37:55,2023-09-25
GOES-14,150,39991,46356,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,108 ° W, ,,Stand-by,"DCIS, GEOS&R , IMAGER (GOES 12-15), SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, SOUNDER, SXI",2023-07-03 13:44:40,2023-07-03
GOES-15,151,40241,45077,"Geostationary Operational Environmental Satellite - 2nd generation",GEO,35786 km,61.5 ° E, ,,Inactive,"DCIS, GEOS&R , IMAGER (GOES 12-15), SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, SOUNDER, SXI",2023-09-25 7:00:46,2023-09-25
GOES-16,152,42693,48182,"Geostationary Operational Environmental Satellite - 3rd generation",GEO,35786 km,75.2 ° W, ,,Operational,"ABI, DCIS, EXIS, GEOS&R , GLM, SEISS/EHIS, SEISS/MPS, SEISS/SGPS, SEM/MAG, SUVI",2023-03-13 22:15:16,2023-03-13
GOSAT,154,39836,45260,"Greenhouse gas Observing Satellite",SunSync,666 km, , ,13:00 desc,Operational,"TANSO-CAI, TANSO-FTS",2023-08-14 8:42:26,2023-08-14
GPM Core Observatory,156,41697,46356,"Global Precipitation Measurement mission",DRIFT,407 km, ,65°,,Operational,"DPR, GMI (core)",2023-08-14 13:54:58,2023-08-14
GRACE (2 sats),158,37332,43035,"Gravity Recovery and Climate Experiment",DRIFT,337 km, ,89°,,Inactive,"BlackJack (GRACE), HAIRS, LRR (DLR), SCA (GRACE), SuperSTAR",2023-02-13 8:37:58,2023-02-13
GRACE-FO (2 sats),159,43242,44895,"Gravity Recovery and Climate Experiment",DRIFT,490 km, ,89°,,Operational,"HAIRS, LRR (DLR), SCA (GRACE), SuperSTAR, Tri-G (GRACE-FO)",2023-02-10 14:45:55,2023-02-10
Himawari-1 (GMS-1),160,28320,32689,"Himawari 1st generation (Geostationary Meteorological Satellite)",GEO,35786 km,140 ° E, ,,Inactive,"DCS (Himawari), SEM (GMS), VISSR (Himawari 1-4)",2021-03-11 15:40:27,2021-03-11
Himawari-2 (GMS-2),161,29809,32101,"Himawari 1st generation (Geostationary Meteorological Satellite)",GEO,35786 km,140 ° E, ,,Inactive,"DCS (Himawari), SEM (GMS), VISSR (Himawari 1-4)",2021-03-11 15:40:54,2021-03-11
Himawari-3 (GMS-3),162,30897,34872,"Himawari 1st generation (Geostationary Meteorological Satellite)",GEO,35786 km,140 ° E, ,,Inactive,"DCS (Himawari), SEM (GMS), VISSR (Himawari 1-4)",2021-03-11 15:41:59,2021-03-11
Himawari-4 (GMS-4),163,32757,36580,"Himawari 1st generation (Geostationary Meteorological Satellite)",GEO,35786 km,140 ° E, ,,Inactive,"DCS (Himawari), SEM (GMS), VISSR (Himawari 1-4)",2021-03-11 15:42:54,2021-03-11
Himawari-5 (GMS-5),164,34776,37763,"Himawari 1st generation (Geostationary Meteorological Satellite)",GEO,35786 km,140 ° E, ,,Inactive,"DCS (Himawari), VISSR (Himawari-5)",2021-03-11 15:43:23,2021-03-11
Himawari-6 (MTSAT-1R),165,38409,42342,"Himawari 2nd generation (Multifunction Transport Satellite)",GEO,35786 km,140 ° E, ,,Inactive,"DCS (Himawari), JAMI",2021-03-11 15:44:09,2021-03-11
Himawari-7 (MTSAT-2),166,38766,42500,"Himawari 2nd generation (Multifunction Transport Satellite)",GEO,35786 km,145 ° E, ,,Inactive,"DCS (Himawari), IMAGER (MTSAT-2)",2021-03-11 15:44:35,2021-03-11
Himawari-8,167,41919,47452,"Himawari 3rd generation",GEO,35786 km,140.7 ° E, ,,Stand-by,"AHI, DCS (Himawari)",2023-10-02 7:21:42,2023-10-02
HJ-1A,169,39697,43069,"Huan Jing",SunSync,650 km, , ,10:30 desc,Inactive,"HSI, WVC",2019-12-28 20:13:00,2019-12-28
HJ-1B,170,39697,43069,"Huan Jing",SunSync,650 km, , ,10:30 desc,Presumably inactive,"IRMSS (HJ), WVC",2019-12-28 20:11:57,2019-12-28
HJ-1C,171,41231,44895,"Huan Jing",SunSync,502 km, , ,06:00 desc,Unclear,"SAR-S",2022-12-10 21:56:39,2022-12-10
HY-1A,172,37391,38076,"Hai Yang 1",SunSync,795 km, , ,10:30 desc,Inactive,"COCTS, CZI",2020-06-11 10:44:45,2020-06-11
HY-1B,173,39183,42413,"Hai Yang 1",SunSync,798 km, , ,10:30 desc,Inactive,"COCTS, CZI",2020-09-17 11:49:36,2020-09-17
HY-1C,174,43350,45260,"Hai Yang 1",SunSync,785 km, , ,10:30 desc,Operational,"AIS, COCTS, CZI, SCS, UVI(HY)",2020-06-11 15:15:22,2020-06-11
HY-1D,175,43992,45991,"Hai Yang 1",SunSync,798 km, , ,13:30 asc,Operational,"AIS, COCTS, CZI, SCS, UVI(HY)",2021-03-05 14:28:17,2021-03-05
HY-2A,176,40771,44530,"Hai Yang 2",SunSync,975 km, , ,06:00 desc,Presumably inactive,"ALT (sso), CMR, DORIS, HSCAT, LRA (NASA), MWRI (HY-2)",2022-04-28 15:04:55,2022-04-28
ICESat,177,37633,40404,"Ice, Cloud and land Elevation Satellite",DRIFT,600 km, ,94°,,Inactive,"GLAS, LRA (NASA), TRSR",2015-07-28 0:17:52,2015-07-28
ICESat-2,178,43358,44895,"Ice, Cloud and land Elevation Satellite",DRIFT,481 km, ,94°,,Operational,"ATLAS, LRA (NASA), TRSR",2022-11-17 18:12:23,2022-11-17
IMS-1,179,39566,41172,"Indian Mini-Satellite",SunSync,632 km, , ,09:30 desc,Inactive,"HySI-T, Mx-T",2018-03-20 12:29:30,2018-03-20
SEOSat/Ingenio,180,44152,44152,"Spanish Earth Observation Satellite (also Ingenio)",SunSync,668 km, , ,10:30 desc,Lost at launch,"MS (Ingenio), PAN (Ingenio), UVAS",2021-06-16 11:47:18,2021-06-16
INSAT-1A,181,30051,30200,"Indian National Satellite - 1",GEO,35786 km,74 ° E, ,,Inactive,"DCS (INSAT), VHRR (INSAT)",2015-07-28 12:23:57,2015-07-28
INSAT-1B,182,30558,34165,"Indian National Satellite - 1",GEO,35786 km,74 ° E, ,,Inactive,"DCS (INSAT), VHRR (INSAT)",2015-07-28 12:24:40,2015-07-28
INSAT-1C,183,32346,32834,"Indian National Satellite - 1",GEO,35786 km,93.5 ° E, ,,Inactive,"DCS (INSAT), VHRR (INSAT)",2015-07-28 12:25:13,2015-07-28
INSAT-1D,184,33036,37390,"Indian National Satellite - 1",GEO,35786 km,74 ° E, ,,Inactive,"DCS (INSAT), VHRR (INSAT)",2015-07-28 12:25:50,2015-07-28
INSAT-2A,185,33795,37406,"Indian National Satellite - 2",GEO,35786 km,74 ° E, ,,Inactive,"DCS (INSAT), SAS&R, VHRR (INSAT)",2015-07-28 12:26:29,2015-07-28
INSAT-2B,186,34173,38169,"Indian National Satellite - 2",GEO,35786 km,93.5 ° E, ,,Inactive,"DCS (INSAT), SAS&R, VHRR (INSAT)",2015-07-28 12:27:14,2015-07-28
INSAT-2C,187,35040,37361,"Indian National Satellite - 2",GEO,35786 km,93.5 ° E, ,,Inactive,"",2015-07-28 12:27:58,2015-07-28
INSAT-2D,188,35585,35707,"Indian National Satellite - 2",GEO,35786 km,93.5 ° E, ,,Inactive,"DCS (INSAT), SAS&R, VHRR (INSAT)",2015-07-28 12:28:35,2015-07-28
INSAT-2E,189,36253,41014,"Indian National Satellite - 2",GEO,35786 km,83 ° E, ,,Inactive,"CCD, DCS (INSAT), SAS&R, VHRR (INSAT)",2015-07-28 12:29:33,2015-07-28
INSAT-3A,190,37721,42613,"Indian National Satellite - 3",GEO,35786 km,93.5 ° E, ,,Inactive,"CCD, DCS (INSAT), SAS&R, VHRR (INSAT)",2017-07-17 17:09:14,2017-07-17
INSAT-3B,191,36607,40484,"Indian National Satellite - 3",GEO,35786 km,83 ° E, ,,Inactive,"",2017-01-20 10:45:19,2017-01-20
INSAT-3C,192,37280,41608,"Indian National Satellite - 3",GEO,35786 km,74 ° E, ,,Inactive,"",2017-07-17 17:18:07,2017-07-17
INSAT-3D,193,41480,44895,"Indian National Satellite - 3",GEO,35786 km,82 ° E, ,,Operational,"DCS (INSAT), IMAGER (INSAT), SAS&R, SOUNDER (INSAT)",2022-10-24 9:59:12,2022-10-24
INSAT-3DR,194,42621,45991,"Indian National Satellite - 3",GEO,35786 km,74 ° E, ,,Operational,"DCS (INSAT), IMAGER (INSAT), SAS&R, SOUNDER (INSAT)",2022-03-21 14:49:09,2022-03-21
IRS-1A,196,32219,33786,"Indian Remote-sensing Satellite",SunSync,904 km, , ,10:30 desc,Inactive,"LISS-1, LISS-2",2015-07-28 12:33:59,2015-07-28
IRS-1B,197,33479,37073,"Indian Remote-sensing Satellite",SunSync,904 km, , ,10:30 desc,Inactive,"LISS-1, LISS-2",2015-07-28 12:34:49,2015-07-28
IRS-1C,198,35061,38616,"Indian Remote-sensing Satellite",SunSync,817 km, , ,10:30 desc,Inactive,"LISS-3 (IRS-1), PAN (IRS), WiFS",2015-07-28 12:35:39,2015-07-28
IRS-1D,199,35702,40193,"Indian Remote-sensing Satellite",SunSync,778 km, , ,10:30 desc,Inactive,"LISS-3 (IRS-1), PAN (IRS), WiFS",2015-07-28 12:36:27,2015-07-28
IRS-1E (IRS-P1),200,34232,34232,"Indian Remote-sensing Satellite",SunSync,904 km, , ,10:30 desc,Lost at launch,"LISS-1, MEOSS",2015-07-28 12:37:52,2015-07-28
IRS-P2,201,34622,35688,"Indian Remote-sensing Satellite",SunSync,817 km, , ,10:30 desc,Inactive,"LISS-2M",2015-07-28 12:38:32,2015-07-28
IRS-P3,202,35145,38275,"Indian Remote-sensing Satellite",SunSync,817 km, , ,10:30 desc,Inactive,"IXAE, MOS, WiFS (IRS-P3)",2015-07-28 12:39:15,2015-07-28
ITOS-1 (TIROS-M),203,25591,26102,"NOAA 3rd generation / Improved TIROS Operational System",SunSync,1470 km, , ,14:30 asc,Inactive,"APT, AVCS, FPR, SPM, SR",2015-07-28 12:42:22,2015-07-28
JASON-1,204,37232,41456,"Joint Altimetry Satellite Oceanography Network",DRIFT,1324 km, ,66°,,Inactive,"DORIS, JMR, LRA (NASA), Poseidon-2, TRSR",2019-10-29 21:05:57,2019-10-29
JASON-2,205,39619,43739,"Joint Altimetry Satellite Oceanography Network",DRIFT,1309.5 km, ,66°,,Inactive,"AMR, CARMEN, DORIS, LPT, LRA (NASA), Poseidon-3, TRSR",2021-05-20 17:30:33,2021-05-20
JASON-3,206,42386,45260,"Joint Altimetry Satellite Oceanography Network",DRIFT,1336 km, ,66°,,Operational,"AMR, CARMEN, DORIS, LPT, LRA (NASA), Poseidon-3B, TRSR",2023-03-09 16:51:36,2023-03-09
JERS,207,33645,36079,"Japanese Earth Resources Satellite",SunSync,568 km, , ,10:45 desc,Inactive,"OPS (JERS), SAR (JERS)",2015-07-28 12:45:03,2015-07-28
NOAA-20,208,43057,46356,"Joint Polar Satellite System",SunSync,834 km, , ,13:25 asc,Operational,"ATMS, CERES, CrIS, OMPS-nadir, VIIRS",2023-08-14 14:09:18,2023-08-14
NOAA-21,209,44875,47452,"Joint Polar Satellite System",SunSync,824 km, , ,13:30 asc,Operational,"ATMS, CrIS, OMPS-limb, OMPS-nadir, VIIRS",2023-08-14 14:08:49,2023-08-14
Kalpana-1,210,37511,42978,"Kalpana",GEO,35786 km,74 ° E, ,,Inactive,"DCS (INSAT), VHRR (INSAT)",2018-10-06 12:54:37,2018-10-06
KANOPUS-V1,211,41112,44013,"KANOPUS Vulkan",SunSync,510 km, , ,10:30 asc,Inactive,"MSS (KANOPUS), MSU-200, PSS",2022-01-12 20:23:07,2022-01-12
KANOPUS-V-IK-1,212,42930,44895,"KANOPUS Vulkan",SunSync,510 km, , ,10:30 asc,Operational,"MSS (KANOPUS), MSU-IK-SR, PSS",2022-10-24 10:02:03,2022-10-24
KOMPSAT-1,213,36514,39478,"Korea Multi-Purpose Satellite",SunSync,685 km, , ,10:50 asc,Inactive,"EOC, OSMI, SPS/HEPD, SPS/IMS",2015-07-28 12:51:10,2015-07-28
KOMPSAT-2,214,38926,44895,"Korea Multi-Purpose Satellite",SunSync,685 km, , ,10:50 asc,Operational,"MSC",2022-10-24 9:53:29,2022-10-24
KOMPSAT-3,215,41046,44895,"Korea Multi-Purpose Satellite",SunSync,675 km, , ,13:30 asc,Operational,"AEISS",2022-10-24 9:56:50,2022-10-24
KOMPSAT-5,216,41508,44895,"Korea Multi-Purpose Satellite",SunSync,550 km, , ,06:00 asc,Operational,"AOPOD, COSI, LRR (DLR)",2022-10-24 9:57:25,2022-10-24
LAGEOS-1,217,27884,45991,"Laser Geodynamics Satellite",DRIFT,5900 km, ,109.8°,,Operational,"LRA (ASI)",2018-12-28 15:53:38,2018-12-28
LAGEOS-2,218,33899,51835,"Laser Geodynamics Satellite",DRIFT,5780 km, ,52.6°,,Operational,"LRA (ASI)",2018-12-28 15:54:44,2018-12-28
Landsat-1 (ERTS),219,26503,28492,"Landsat",SunSync,907 km, , ,10:00 desc,Inactive,"DCS (Landsat), MSS, RBV",2015-07-28 18:39:13,2015-07-28
Landsat-2,220,27416,30007,"Landsat",SunSync,908 km, , ,10:00 desc,Inactive,"DCS (Landsat), MSS, RBV",2015-07-28 18:40:09,2015-07-28
Landsat-3,221,28554,30406,"Landsat",SunSync,915 km, , ,10:00 desc,Inactive,"DCS (Landsat), MSS, RBV",2015-07-28 18:41:07,2015-07-28
Landsat-4,222,30148,33938,"Landsat",SunSync,705 km, , ,10:00 desc,Inactive,"GPS (NASA), MSS, TM",2015-07-28 18:50:17,2015-07-28
Landsat-5,223,30742,40865,"Landsat",SunSync,705 km, , ,09:45 desc,Inactive,"GPS (NASA), MSS, TM",2015-07-28 18:58:27,2015-07-28
Landsat-6,224,34247,34247,"Landsat",SunSync,705 km, , ,09:45 desc,Lost at launch,"ETM",2015-07-28 18:59:33,2015-07-28
Landsat-7,225,36265,45626,"Landsat",SunSync,705 km, , ,08:30 desc,Operational,"ETM+",2023-07-24 8:35:00,2023-07-24
LARES-1,226,40952,54757,"Laser Geodynamics Satellite",DRIFT,1450 km, ,69.5°,,Operational,"LRA (ASI)",2022-03-01 17:24:10,2022-03-01
Landsat-8,227,41316,44895,"Landsat Data Continuity Mission",SunSync,705 km, , ,10:11 desc,Operational,"OLI, TIRS",2023-07-24 8:36:10,2023-07-24
Megha-Tropiques,228,40828,44561,"Megha-Tropiques",DRIFT,867 km, ,20°,,Inactive,"MADRAS, ROSA, SAPHIR, ScaRaB",2022-06-27 14:44:44,2022-06-27
Meteor-1-1,229,25288,25594,"Meteor-1",DRIFT,560 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:13:55,2013-02-13
Meteor-1-2,230,25482,25755,"Meteor-1",DRIFT,530 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:14:14,2013-02-13
Meteor-1-3,231,25644,25919,"Meteor-1",DRIFT,680 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:14:33,2013-02-13
Meteor-1-4,232,25686,25961,"Meteor-1",DRIFT,560 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:14:51,2013-02-13
Meteor-1-5,233,25742,26015,"Meteor-1",DRIFT,840 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:15:14,2013-02-13
Meteor-1-6,234,25856,26129,"Meteor-1",DRIFT,440 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:15:33,2013-02-13
Meteor-1-7,235,25953,26226,"Meteor-1",DRIFT,540 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:16:09,2013-02-13
Meteor-1-8,236,26040,26315,"Meteor-1",DRIFT,250 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:16:32,2013-02-13
Meteor-1-9,237,26130,26405,"Meteor-1",DRIFT,350 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:16:57,2013-02-13
Meteor-1-10,238,26296,26571,"Meteor-1",DRIFT,870 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:17:23,2013-02-13
Meteor-1-11,239,26388,26663,"Meteor-1",DRIFT,870 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:17:50,2013-02-13
Meteor-1-12,240,26480,26753,"Meteor-1",DRIFT,880 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:18:15,2013-02-13
Meteor-1-13,241,26598,26871,"Meteor-1",DRIFT,860 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:18:37,2013-02-13
Meteor-1-14,242,26743,27018,"Meteor-1",DRIFT,850 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:18:57,2013-02-13
Meteor-1-15,243,26813,27088,"Meteor-1",DRIFT,860 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:19:18,2013-02-13
Meteor-1-16,244,27093,27368,"Meteor-1",DRIFT,850 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:19:43,2013-02-13
Meteor-1-17,245,27143,27418,"Meteor-1",DRIFT,870 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:20:06,2013-02-13
Meteor-1-19,246,27330,27729,"Meteor-1",DRIFT,860 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 18:16:18,2013-02-13
Meteor-1-20,247,27380,27654,"Meteor-1",DRIFT,860 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:20:52,2013-02-13
Meteor-1-21,248,27485,27942,"Meteor-1",DRIFT,870 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2014-01-24 19:50:44,2014-01-24
Meteor-1-22,249,27655,28095,"Meteor-1",DRIFT,850 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:21:35,2013-02-13
Meteor-1-23,250,27753,28028,"Meteor-1",DRIFT,860 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:22:00,2013-02-13
Meteor-1-24,251,27857,28132,"Meteor-1",DRIFT,860 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 17:22:22,2013-02-13
Meteor-1-26,252,28048,28321,"Meteor-1",DRIFT,860 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2013-02-13 18:17:36,2013-02-13
Meteor-1-27,253,28220,28495,"Meteor-1",DRIFT,860 km, ,81.2°,,Inactive,"AC, IR (Meteor-1), TV (Meteor-1)",2023-03-06 12:24:33,2023-03-06
Meteor-2-1,254,27586,28136,"Meteor-2",DRIFT,860 km, ,81.3°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:24:21,2013-02-13
Meteor-2-2,255,28131,28677,"Meteor-2",DRIFT,880 km, ,81.3°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:24:43,2013-02-13
Meteor-2-3,256,28473,29020,"Meteor-2",DRIFT,860 km, ,81.2°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:25:00,2013-02-13
Meteor-2-4,257,28915,29465,"Meteor-2",DRIFT,850 km, ,81.2°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:25:14,2013-02-13
Meteor-2-5,258,29159,29706,"Meteor-2",DRIFT,870 km, ,81.2°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:25:31,2013-02-13
Meteor-2-6,259,29473,30019,"Meteor-2",DRIFT,860 km, ,81.2°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:25:49,2013-02-13
Meteor-2-7,260,29720,30269,"Meteor-2",DRIFT,860 km, ,81.3°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:26:04,2013-02-13
Meteor-2-8,261,30035,30584,"Meteor-2",DRIFT,940 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:26:19,2013-02-13
Meteor-2-9,262,30299,30847,"Meteor-2",DRIFT,840 km, ,81.3°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:26:36,2013-02-13
Meteor-2-10,263,30617,31165,"Meteor-2",DRIFT,810 km, ,81.2°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:26:55,2013-02-13
Meteor-2-11,264,30868,31417,"Meteor-2",DRIFT,950 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:27:13,2013-02-13
Meteor-2-12,265,31084,31599,"Meteor-2",DRIFT,940 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:27:28,2013-02-13
Meteor-2-13,266,31407,31954,"Meteor-2",DRIFT,950 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:27:45,2013-02-13
Meteor-2-14,267,31559,32108,"Meteor-2",DRIFT,950 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:28:04,2013-02-13
Meteor-2-15,268,31782,32329,"Meteor-2",DRIFT,950 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:28:21,2013-02-13
Meteor-2-16,269,32007,32557,"Meteor-2",DRIFT,950 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:28:39,2013-02-13
Meteor-2-17,270,32172,33084,"Meteor-2",DRIFT,950 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:28:57,2013-02-13
Meteor-2-18,271,32567,33113,"Meteor-2",DRIFT,940 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:29:11,2013-02-13
Meteor-2-19,272,33051,33599,"Meteor-2",DRIFT,950 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:29:27,2013-02-13
Meteor-2-20,273,33144,33691,"Meteor-2",DRIFT,950 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:30:01,2013-02-13
Meteor-2-21,274,34212,34758,"Meteor-2",DRIFT,950 km, ,82.5°,,Inactive,"IR (Meteor-2), RMK-2, SM (Meteor-2), TV (Meteor-2)",2013-02-13 17:30:18,2013-02-13
Meteor-3-1,276,31344,32074,"Meteor-3",DRIFT,1200 km, ,82.5°,,Inactive,"Klimat, MR-900B, MR-2000M, RMK-2, SM (Meteor-3)",2013-02-13 17:10:02,2013-02-13
Meteor-3-2,277,32350,33080,"Meteor-3",DRIFT,1200 km, ,82.5°,,Inactive,"Klimat, MR-900B, MR-2000M, RMK-2, SM (Meteor-3)",2013-02-13 17:10:33,2013-02-13
Meteor-3-3,278,32805,33535,"Meteor-3",DRIFT,1240 km, ,82.5°,,Inactive,"Klimat, MR-900B, MR-2000M, RMK-2, SM (Meteor-3)",2013-02-13 17:11:03,2013-02-13
Meteor-3-4,279,33352,34083,"Meteor-3",DRIFT,1200 km, ,82.5°,,Inactive,"Klimat, MR-900B, MR-2000M, RMK-2, SM (Meteor-3)",2013-02-13 17:11:41,2013-02-13
